OBJECT_ID;TYPE_FICHIER;colonne;valeur
1;GLASSDOOR_SOC;nom_entreprise;Devoteam
1;GLASSDOOR_SOC;ville;Levallois-Perret
1;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
1;GLASSDOOR_SOC;secteur; Services informatiques
2;GLASSDOOR_SOC;nom_entreprise;Atos
2;GLASSDOOR_SOC;ville;Bezons
2;GLASSDOOR_SOC;taille;Plus de 10 000 employés
2;GLASSDOOR_SOC;secteur; Services informatiques
3;GLASSDOOR_SOC;nom_entreprise;Atos
3;GLASSDOOR_SOC;ville;Sesto Calende (Italie)
3;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
3;GLASSDOOR_SOC;secteur; Fabrication d'appareils électriques et électroniques
4;GLASSDOOR_SOC;nom_entreprise;Atos Consulting
4;GLASSDOOR_SOC;ville;Nyon (Suisse)
4;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
4;GLASSDOOR_SOC;secteur; Inconnu
5;GLASSDOOR_SOC;nom_entreprise;Atos-Syntel
5;GLASSDOOR_SOC;ville;Troy, MI (États-Unis)
5;GLASSDOOR_SOC;taille;Plus de 10 000 employés
5;GLASSDOOR_SOC;secteur; Services informatiques
6;GLASSDOOR_SOC;nom_entreprise;Atos Medical
6;GLASSDOOR_SOC;ville;New Berlin, WI (États-Unis)
6;GLASSDOOR_SOC;taille;De 51 à 200 employés
6;GLASSDOOR_SOC;secteur; Fabrication de produits de soins de santé
7;GLASSDOOR_SOC;nom_entreprise;Dassault Systemes
7;GLASSDOOR_SOC;ville;Vélizy
7;GLASSDOOR_SOC;taille;Plus de 10 000 employés
7;GLASSDOOR_SOC;secteur; Matériel et logiciels informatiques
8;GLASSDOOR_SOC;nom_entreprise;SolidWorks
8;GLASSDOOR_SOC;ville;Waltham, MA (États-Unis)
8;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
8;GLASSDOOR_SOC;secteur; Filiale ou unité d'exploitation
9;GLASSDOOR_SOC;nom_entreprise;2S2I Solutions & Services
9;GLASSDOOR_SOC;ville;Montpellier
9;GLASSDOOR_SOC;taille;De 51 à 200 employés
9;GLASSDOOR_SOC;secteur; Services informatiques
10;GLASSDOOR_SOC;nom_entreprise;CEGID
10;GLASSDOOR_SOC;ville;Lyon
10;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
10;GLASSDOOR_SOC;secteur; Solutions logicielles et réseau d'entreprise
11;GLASSDOOR_SOC;nom_entreprise;Bayer
11;GLASSDOOR_SOC;ville;Leverkusen (Allemagne)
11;GLASSDOOR_SOC;taille;Plus de 10 000 employés
11;GLASSDOOR_SOC;secteur; Biotechnologies et pharmaceutique
12;GLASSDOOR_SOC;nom_entreprise;Abaka
12;GLASSDOOR_SOC;ville;Rennes
12;GLASSDOOR_SOC;taille;De 1 à 50 employés
12;GLASSDOOR_SOC;secteur; Conseils
13;GLASSDOOR_SOC;nom_entreprise;Expertime
13;GLASSDOOR_SOC;ville;Viroflay
13;GLASSDOOR_SOC;taille;De 51 à 200 employés
13;GLASSDOOR_SOC;secteur; Services informatiques
14;GLASSDOOR_SOC;nom_entreprise;Adsearch
14;GLASSDOOR_SOC;ville;Paris
14;GLASSDOOR_SOC;taille;De 51 à 200 employés
14;GLASSDOOR_SOC;secteur; Inconnu
15;GLASSDOOR_SOC;nom_entreprise;Groupe Adéquat
15;GLASSDOOR_SOC;ville;Lyon
15;GLASSDOOR_SOC;taille;De 501 à 1 000 employés
15;GLASSDOOR_SOC;secteur; Recrutement et sous-traitance
16;GLASSDOOR_SOC;nom_entreprise;Multimedia France Productions
16;GLASSDOOR_SOC;ville;Paris
16;GLASSDOOR_SOC;taille;De 51 à 200 employés
16;GLASSDOOR_SOC;secteur; Inconnu
17;GLASSDOOR_SOC;nom_entreprise;Modis
17;GLASSDOOR_SOC;ville;Zurich (Suisse)
17;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
17;GLASSDOOR_SOC;secteur; Filiale ou unité d'exploitation
18;GLASSDOOR_SOC;nom_entreprise;UK Ministry of Defence
18;GLASSDOOR_SOC;ville;Londres, Angleterre (Royaume-Uni)
18;GLASSDOOR_SOC;taille;Plus de 10 000 employés
18;GLASSDOOR_SOC;secteur; Organismes fédéraux
19;GLASSDOOR_SOC;nom_entreprise;Smile Group
19;GLASSDOOR_SOC;ville;Asnières-sur-Seine
19;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
19;GLASSDOOR_SOC;secteur; Services informatiques
20;GLASSDOOR_SOC;nom_entreprise;Cegedim
20;GLASSDOOR_SOC;ville;Boulogne-Billancourt
20;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
20;GLASSDOOR_SOC;secteur; Matériel et logiciels informatiques
21;GLASSDOOR_SOC;nom_entreprise;Groupe Creative
21;GLASSDOOR_SOC;ville;Rennes
21;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
21;GLASSDOOR_SOC;secteur; Services d'architecture et d'ingénierie
22;GLASSDOOR_SOC;nom_entreprise;Robert Half
22;GLASSDOOR_SOC;ville;Menlo Park, CA (États-Unis)
22;GLASSDOOR_SOC;taille;Plus de 10 000 employés
22;GLASSDOOR_SOC;secteur; Recrutement et sous-traitance
23;GLASSDOOR_SOC;nom_entreprise;Lacoste
23;GLASSDOOR_SOC;ville;Paris
23;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
23;GLASSDOOR_SOC;secteur; Magasins de chaussures, de vêtements et grands magasins
24;GLASSDOOR_SOC;nom_entreprise;Lacoste Traiteur
24;GLASSDOOR_SOC;ville;Eysines
24;GLASSDOOR_SOC;taille;De 51 à 200 employés
24;GLASSDOOR_SOC;secteur; Inconnu
25;GLASSDOOR_SOC;nom_entreprise;CGIAR
25;GLASSDOOR_SOC;ville;Montpellier
25;GLASSDOOR_SOC;taille;De 5 001 à 10 000 employés
25;GLASSDOOR_SOC;secteur; Assistance sociale
26;GLASSDOOR_SOC;nom_entreprise;Volvo Group
26;GLASSDOOR_SOC;ville;Gothenburg (Suède)
26;GLASSDOOR_SOC;taille;Plus de 10 000 employés
26;GLASSDOOR_SOC;secteur; Fabrication d'équipement de transport
27;GLASSDOOR_SOC;nom_entreprise;Volvo Trucks
27;GLASSDOOR_SOC;ville;Greensboro, NC (États-Unis)
27;GLASSDOOR_SOC;taille;De 1 001 à 5 000 employés
27;GLASSDOOR_SOC;secteur; Fabrication d'équipement de transport
28;GLASSDOOR_SOC;nom_entreprise;Volvo Cars
28;GLASSDOOR_SOC;ville;Gothenburg (Suède)
28;GLASSDOOR_SOC;taille;Plus de 10 000 employés
28;GLASSDOOR_SOC;secteur; Fabrication industrielle
29;GLASSDOOR_SOC;nom_entreprise;Volvo Construction Equipment
29;GLASSDOOR_SOC;ville;Asheville, NC (États-Unis)
29;GLASSDOOR_SOC;taille;Entre 201 et 500 employés
29;GLASSDOOR_SOC;secteur; Fabrication industrielle
30;GLASSDOOR_SOC;nom_entreprise;Volvo Information Technology
30;GLASSDOOR_SOC;ville;De 1 001 à 5 000 employés
30;GLASSDOOR_SOC;taille; Inconnu
30;GLASSDOOR_SOC;secteur; Entre 5 et 10 milliards € (EUR) par an
31;GLASSDOOR_SOC;nom_entreprise;Feu Vert
31;GLASSDOOR_SOC;ville;Écully
