"object_id";"colonne";"valeur"
"1";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13546-INFO-EMP-LINKEDIN-FR-1599984246.html"
"1";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13546-INFO-EMP-LINKEDIN-FR-1599984246.html"
"1";"date_ingestion";"2025-10-17 15:14:35"
"2";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13547-INFO-EMP-LINKEDIN-FR-1519694389.html"
"2";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13547-INFO-EMP-LINKEDIN-FR-1519694389.html"
"2";"date_ingestion";"2025-10-17 15:14:35"
"3";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13548-INFO-EMP-LINKEDIN-FR-1638675310.html"
"3";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13548-INFO-EMP-LINKEDIN-FR-1638675310.html"
"3";"date_ingestion";"2025-10-17 15:14:35"
"4";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13549-INFO-EMP-LINKEDIN-FR-1638763250.html"
"4";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13549-INFO-EMP-LINKEDIN-FR-1638763250.html"
"4";"date_ingestion";"2025-10-17 15:14:35"
"5";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13550-INFO-EMP-LINKEDIN-FR-1573133460.html"
"5";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13550-INFO-EMP-LINKEDIN-FR-1573133460.html"
"5";"date_ingestion";"2025-10-17 15:14:35"
"6";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13551-INFO-EMP-LINKEDIN-FR-1602929951.html"
"6";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13551-INFO-EMP-LINKEDIN-FR-1602929951.html"
"6";"date_ingestion";"2025-10-17 15:14:35"
"7";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13552-INFO-EMP-LINKEDIN-FR-1599166885.html"
"7";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13552-INFO-EMP-LINKEDIN-FR-1599166885.html"
"7";"date_ingestion";"2025-10-17 15:14:35"
"8";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13553-INFO-EMP-LINKEDIN-FR-1566950259.html"
"8";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13553-INFO-EMP-LINKEDIN-FR-1566950259.html"
"8";"date_ingestion";"2025-10-17 15:14:35"
"9";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13554-INFO-EMP-LINKEDIN-FR-1634138009.html"
"9";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13554-INFO-EMP-LINKEDIN-FR-1634138009.html"
"9";"date_ingestion";"2025-10-17 15:14:35"
"10";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13555-INFO-EMP-LINKEDIN-FR-1602837931.html"
"10";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13555-INFO-EMP-LINKEDIN-FR-1602837931.html"
"10";"date_ingestion";"2025-10-17 15:14:35"
"11";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13556-INFO-EMP-LINKEDIN-FR-1637899355.html"
"11";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13556-INFO-EMP-LINKEDIN-FR-1637899355.html"
"11";"date_ingestion";"2025-10-17 15:14:35"
"12";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13557-INFO-EMP-LINKEDIN-FR-1644582626.html"
"12";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13557-INFO-EMP-LINKEDIN-FR-1644582626.html"
"12";"date_ingestion";"2025-10-17 15:14:35"
"13";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13558-INFO-EMP-LINKEDIN-FR-1610492058.html"
"13";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13558-INFO-EMP-LINKEDIN-FR-1610492058.html"
"13";"date_ingestion";"2025-10-17 15:14:35"
"14";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13559-INFO-EMP-LINKEDIN-FR-1637893990.html"
"14";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13559-INFO-EMP-LINKEDIN-FR-1637893990.html"
"14";"date_ingestion";"2025-10-17 15:14:35"
"15";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13560-INFO-EMP-LINKEDIN-FR-1624194180.html"
"15";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13560-INFO-EMP-LINKEDIN-FR-1624194180.html"
"15";"date_ingestion";"2025-10-17 15:14:35"
"16";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13561-INFO-EMP-LINKEDIN-FR-1390703995.html"
"16";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13561-INFO-EMP-LINKEDIN-FR-1390703995.html"
"16";"date_ingestion";"2025-10-17 15:14:35"
"17";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13562-INFO-EMP-LINKEDIN-FR-1451077490.html"
"17";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13562-INFO-EMP-LINKEDIN-FR-1451077490.html"
"17";"date_ingestion";"2025-10-17 15:14:35"
"18";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13563-INFO-EMP-LINKEDIN-FR-1578578508.html"
"18";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13563-INFO-EMP-LINKEDIN-FR-1578578508.html"
"18";"date_ingestion";"2025-10-17 15:14:35"
"19";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13564-INFO-EMP-LINKEDIN-FR-1638814150.html"
"19";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13564-INFO-EMP-LINKEDIN-FR-1638814150.html"
"19";"date_ingestion";"2025-10-17 15:14:35"
"20";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13565-INFO-EMP-LINKEDIN-FR-1450797712.html"
"20";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13565-INFO-EMP-LINKEDIN-FR-1450797712.html"
"20";"date_ingestion";"2025-10-17 15:14:35"
"21";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13566-INFO-EMP-LINKEDIN-FR-1613358196.html"
"21";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13566-INFO-EMP-LINKEDIN-FR-1613358196.html"
"21";"date_ingestion";"2025-10-17 15:14:35"
"22";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13567-INFO-EMP-LINKEDIN-FR-1602713384.html"
"22";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13567-INFO-EMP-LINKEDIN-FR-1602713384.html"
"22";"date_ingestion";"2025-10-17 15:14:35"
"23";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13568-INFO-EMP-LINKEDIN-FR-1608609400.html"
"23";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13568-INFO-EMP-LINKEDIN-FR-1608609400.html"
"23";"date_ingestion";"2025-10-17 15:14:35"
"24";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13569-INFO-EMP-LINKEDIN-FR-1647106383.html"
"24";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13569-INFO-EMP-LINKEDIN-FR-1647106383.html"
"24";"date_ingestion";"2025-10-17 15:14:35"
"25";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13570-INFO-EMP-LINKEDIN-FR-1589595331.html"
