id_avis,id_note,date_publication,contenu_avis,inconvenient,avantage,id_entreprise
1,17,12/12/2019,J'ai travaillé chez Devoteam à temps plein,n’est intéressante ras,salaire acceptable junior,1
2,15,10/12/2019,Je travaille chez Devoteam à temps plein depuis moins d'un an,salaire moyenne marché non présente,entreprise écoute collaborateurs commercial compétent manager disposition cas souci personnel formation collaborateurs demande,1
3,13,07/12/2019,J'ai travaillé chez Devoteam à temps plein,sexisme aucune évolution expertise peu reconnu esn type marchand viande equipe commerciale incompétente,aucun ens classique cherche uniquement faire chiffre,1
4,13,03/12/2019,J'ai travaillé chez Devoteam à temps plein moins d'un an,jai travaillé pendant moins dun an nai accompagnement prévu déconseille fortement si souhaitez entreprise valeurs humaines réelles,avantages classiques,1
5,17,02/12/2019,Je travaille chez Devoteam à temps plein,moment sais,plusieurs événement ambiance salaire mission,1
6,29,26/11/2019,Je travaille chez Devoteam à temps plein,laisse désirer,entreprise innovante écoute collaborateurs,1
7,15,25/11/2019,J'ai travaillé chez Devoteam à temps plein plus d'un an,très peu d’avantages employés e learning pourrait amélioré,forte croissance encore taille humaine entités séparées semi indépendantes entraînent plus grande proximité missions intéressantes junior nouveaux bureaux agréables,1
8,29,22/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,parfois manque visibilité part très haut management,rémunération attractive autonomie importante,1
9,29,22/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,organisation peu adaptée croissance organique externe,diversité missions aussi bien géographique contenu orientée consultant consultant consultant consultant orientée transformation continue,1
10,29,22/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,aucun inconvénient direction écoute employés,sujets innovants soin attention portés collaborateurs ambiance travail,1
11,21,20/11/2019,J'ai travaillé chez Devoteam à temps plein plus d'un an,,,1
12,15,15/11/2019,Je travaille chez Devoteam à temps plein,,,1
13,15,13/11/2019,Je travaille chez Devoteam à temps plein depuis moins d'un an,,,1
14,13,07/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,,,1
15,15,07/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,,,1
16,29,06/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,,,1
17,29,06/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,,,1
18,29,05/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 5 ans,,,1
