id_avis,id_note,date_publication,contenu_avis,inconvenient,avantage,id_entreprise
1,17,"Dec 12, 2019",J'ai travaillé chez Devoteam à temps plein,"CE n’est pas intéressante, RAS",Salaire acceptable pour un junior,71
2,15,"Dec 10, 2019",Je travaille chez Devoteam à temps plein depuis moins d'un an,Salaire dans la moyenne du marché.\nCE non présente,Entreprise à l'écoute de ses collaborateurs.\nCommercial compétent.\nManager à disposition en cas de souci même personnel\nFormation des collaborateurs à la demande,71
3,13,"Dec 7, 2019",J'ai travaillé chez Devoteam à temps plein,Sexisme\nAucune évolution\nExpertise peu reconnu.\nEsn type marchand de viande\nEquipe commerciale incompétente,"Aucun. Ens classique, cherche uniquement à faire du chiffre.",71
4,13,"Dec 3, 2019",J'ai travaillé chez Devoteam à temps plein moins d'un an,J'ai travaillé pendant moins d'un an et je n'ai pas eu l'accompagnement prévu. Je déconseille fortement si vous souhaitez une entreprise avec des valeurs humaines réelles.,Il y a les avantages classiques.,71
5,17,"Dec 2, 2019",Je travaille chez Devoteam à temps plein,"pour le moment, je sais pas","plusieurs telques, événement, ambiance, salaire, mission",71
6,29,"Nov 26, 2019",Je travaille chez Devoteam à temps plein,le CE laisse à désirer,"entreprise innovante, à l'écoute de ses collaborateurs",71
7,15,"Nov 25, 2019",J'ai travaillé chez Devoteam à temps plein plus d'un an,Très peu d’avantages employés\nLe e learning pourrait être amélioré,Forte croissance mais encore à taille humaine \nEntités séparées et semi indépendantes qui entraînent une plus grande proximité\nMissions intéressantes même pour un junior\nNouveaux bureaux agréables,71
8,29,"Nov 22, 2019",Je travaille chez Devoteam à temps plein depuis plus d'un an,"Parfois un manque de visibilité de la part du très haut management,",Rémunération attractive et autonomie importante,71
9,29,"Nov 22, 2019",Je travaille chez Devoteam à temps plein depuis plus de 3 ans,- Organisation peu adaptée à la croissance (organique et externe),"- Diversité des missions (aussi bien géographique que contenu) \n- Orientée consultant (Par le consultant, Pour le consultant et avec le consultant)\n- Orientée Transformation continue",71
10,29,"Nov 22, 2019",Je travaille chez Devoteam à temps plein depuis plus de 3 ans,aucun inconvénient. La direction est à l'écoute de ses employés.,"Sujets innovants, soin et attention portés aux collaborateurs, ambiance de travail",71
11,21,"Nov 20, 2019",J'ai travaillé chez Devoteam à temps plein plus d'un an,NULL,NULL,71
12,15,"Nov 15, 2019",Je travaille chez Devoteam à temps plein,NULL,NULL,71
13,15,"Nov 13, 2019",Je travaille chez Devoteam à temps plein depuis moins d'un an,NULL,NULL,71
14,13,"Nov 7, 2019",Je travaille chez Devoteam à temps plein depuis plus d'un an,NULL,NULL,71
15,15,"Nov 7, 2019",Je travaille chez Devoteam à temps plein depuis plus de 3 ans,NULL,NULL,71
16,29,"Nov 6, 2019",Je travaille chez Devoteam à temps plein depuis plus d'un an,NULL,NULL,71
17,29,"Nov 6, 2019",Je travaille chez Devoteam à temps plein depuis plus de 3 ans,NULL,NULL,71
18,29,"Nov 5, 2019",Je travaille chez Devoteam à temps plein depuis plus de 5 ans,NULL,NULL,71
19,29,"Nov 5, 2019",Je travaille chez Devoteam à temps plein depuis plus d'un an,NULL,NULL,71
20,15,"Nov 5, 2019",Je travaille chez Devoteam à temps plein depuis plus d'un an,NULL,NULL,71
21,17,"Dec 13, 2019",Je travaille chez Atos à temps plein,La rémunération\nDiversité des missions\nEvolution salariale,Equilibre pro / perso\nAmbiance au sein des équipes,72
22,17,"Dec 12, 2019",Je travaille chez Atos à temps plein depuis plus d'un an,"manque des marchés,  manque des primes","lieux, les gens, equipement, ecadrement, mangement",72
23,15,"Dec 10, 2019",Je travaille chez Atos à temps plein,Pas de treiziemes mois / prime intéressement,De très beaux projets informatique,72
24,21,"Dec 10, 2019",J'ai travaillé chez Atos à temps partiel,rythme très haut,technique \nsalaire \ntemps \nvie gout,72
25,17,"Dec 9, 2019",J'ai travaillé chez Atos à temps plein,Peu de marge de négociations,Bonne ambiance de travail,72
26,17,"Dec 9, 2019",J'ai travaillé chez Atos à temps plein plus de 10 ans,Tu avances tes frais et il te rembourseront peut être un jour on. A donné un tel portable pro,Y avais pas Skype il payait les voyages en Europe en 2003. Allemagne suisse Canada angleterre Espagne,72
27,17,"Dec 4, 2019",Je travaille chez Atos à temps plein,"Peu de projets innovant, beaucoup plus de la maintenance d'applications","Plein de mission, en particuliers avec WorldLine",72
28,21,"Dec 2, 2019",J'ai travaillé chez Atos à temps plein plus de 10 ans,"Course à la rentabilité, perpétuels changements de managers, pas de suivi des consultants.","Taille du groupe, missions variées.",72
29,17,"Nov 27, 2019",J'ai travaillé chez Atos à temps plein,Petit salaire\nÉvolution quasi nulle\nLocalisation des bureaux,"Technologie de pointe (HPC), manager directe accessible",72
30,15,"Nov 19, 2019",Je travaille chez Atos à temps plein depuis plus de 10 ans,"Loin de la Défense, les assistantes sont pas bien considérées et de moins ne moins présentes, salaires des Etam et assistantes cadres pas élévés (pas d'augmentation régulière sauf grâce aux RP ), participation et intéressement très faible (mini légal) pour un grand groupe, 30 jours de CP, un CET, RTT, chèque vacances/ culture et Noel  si Atos International ...","Grande entreprise mondiale, facilité pour les jeunes diplômés, de bons stages, salaires attractifs pour les ingénieurs, cadres moins pour les postes d'assistantes\nEvolution interne pour ceux considérés comme des Talents.\nUn siège moderne, avec une cantine et salle de sport, tramway à 10 min à pied\nTrès belle expérience pour les stagiaires et alternants",72
31,29,"Nov 18, 2019",Je travaille chez Atos à temps plein depuis plus d'un an,Rien A Signaler Pour Instant,Mission Ambiance Hiérarchie Direction Implication,72
32,13,"Nov 17, 2019",Je travaille chez Atos à temps plein,"pas de gestion de carière, pas de prime, pas de  formation ni de suivi de mission.",y'a pas d'avantage chez atos,72
33,15,"Nov 16, 2019",Je travaille chez Atos à temps plein depuis plus d'un an,Salaires en dessous du marché,"Projets Sympas, bonnes conditions de travail, pas trop de stress",72
