id_entreprise,id_secteur,nom_entreprise,taille
1,1.0,Devoteam,De 1 001 à 5 000 employés
2,2.0,CEGID,De 1 001 à 5 000 employés
3,1.0,Astek,De 1 001 à 5 000 employés
4,3.0,Astek Group,De 1 à 50 employés
5,1.0,Keyrus Group,De 1 001 à 5 000 employés
6,4.0,Yongzhi Plastic Electronics (Shenzhen) Co.,Entre 201 et 500 employés
7,5.0,Thales,Plus de 10 000 employés
8,6.0,Thales-Raytheon Systems,De 501 à 1 000 employés
9,7.0,L&T Thales Technology Services,Inconnu
10,1.0,JEMS Group,Entre 201 et 500 employés
11,2.0,Capgemini,Plus de 10 000 employés
12,8.0,Capgemini Invent,De 5 001 à 10 000 employés
13,9.0,Bayer,Plus de 10 000 employés
14,10.0,Open,De 1 001 à 5 000 employés
15,11.0,Open Minds Open Hearts Day Care,De 1 à 50 employés
16,2.0,OpenText,Plus de 10 000 employés
17,12.0,Open Sourcing,De 1 à 50 employés
18,13.0,Artefact,De 501 à 1 000 employés
19,13.0,Artefact Group,De 51 à 200 employés
20,11.0,Artefacts Studio,De 1 à 50 employés
21,11.0,Openfield Live,De 1 à 50 employés
22,12.0,Phaidon International,De 501 à 1 000 employés
23,13.0,D2SI,De 51 à 200 employés
24,13.0,Abaka,De 1 à 50 employés
25,11.0,Adthink-Media,De 51 à 200 employés
26,4.0,SKF,Plus de 10 000 employés
27,14.0,GFI,De 51 à 200 employés
28,1.0,Gfi Informatique,Plus de 10 000 employés
29,15.0,GFI Software,De 51 à 200 employés
30,16.0,GFI Group,De 1 001 à 5 000 employés
31,2.0,ACCEO Solutions,De 501 à 1 000 employés
32,1.0,Expertime,De 51 à 200 employés
33,17.0,Accor,Plus de 10 000 employés
34,18.0,ibis,Plus de 10 000 employés
35,19.0,La Redoute,De 1 001 à 5 000 employés
36,11.0,LA REDOUTE,Inconnu
37,20.0,Veolia,Plus de 10 000 employés
38,18.0,OTV,Plus de 10 000 employés
39,7.0,Veolia Water Tech,Inconnu
40,11.0,Groupe NICOLLIN - Groupe VEOLIA,Inconnu
41,11.0,Adsearch,De 51 à 200 employés
