id_ville,ville
1,Levallois-Perret
2,Lyon
3,Paris
4,"Altrincham, Angleterre (Royaume-Uni)"
5,Hong Kong (Hong Kong)
6,Nanterre
7,"Fullerton, CA (États-Unis)"
8,Plus de 10 000 employés
9,Neuilly
10,Courbevoie
11,Leverkusen (Allemagne)
12,"New Orleans, LA (États-Unis)"
13,"Waterloo, ON (Canada)"
14,"Seattle, WA (États-Unis)"
15,Villeurbanne
16,"Londres, Angleterre (Royaume-Uni)"
17,Rennes
18,Tassin
19,Gothenburg (Suède)
20,Moscou (Russie)
21,"Saint-Ouen, Île-de-France"
22,"Austin, TX (États-Unis)"
23,"New York, NY (États-Unis)"
24,"Montréal, QC (Canada)"
25,Viroflay
26,Courcouronnes
27,Roubaix
28,"Saint-Maurice, Alsace"
29,Inconnu
30,Saint-Fons
31,"Lombard, IL (États-Unis)"
32,"Lyon, FR"
33,"Écully, FR"
34,"Lyon Area, France"
35,"Gradignan, FR"
36,"Saint-Maurice-sur-Dargoire, FR"
37,"Lille, FR"
38,"Lyon, Auvergne-Rhone-Alpes, France"
39,"Sainte-Julie, FR"
40,Zurich (Suisse)
41,"Limonest, FR"
42,"Lyon 03, FR"
43,"Lyon, Auvergne-Rhône-Alpes, France"
44,"69230, Saint-Genis-Laval, Auvergne-Rhone-Alpes, France"
45,"Nice, FR"
46,"Lyon 06, FR"
47,Asnières-sur-Seine
48,Bezons
49,Boulogne-Billancourt
50,"Région de Paris, France"
51,"Paris Area, France"
52,"Bezons, FR"
53,"Fontenay-sous-Bois, FR"
54,"Viroflay, Île-de-France, France"
55,"Évry, Île-de-France, France"
56,"Saint-Priest, FR"
57,"Villeurbanne, FR"
58,"Bron, FR"
59,"Menlo Park, CA (États-Unis)"
60,"Paris, FR"
61,"Paris, Île-de-France, France"
62,"Courbevoie, FR"
63,"Nice, Provence-Alpes-Cote d'Azur, France"
64,"Lille Area, France"
65,"Strasbourg, Alsace, France"
66,"Paris 02, Île-de-France, France"
67,"Paris, Ile-de-France, France"
68,Eysines
69,"Montrouge, Île-de-France, France"
70,"Paris La Défense, Île-de-France, France"
71,"Roubaix, Nord-Pas-de-Calais, France"
72,"Malakoff, FR"
73,"Neuilly-sur-Seine, FR"
74,Montpellier
75,"Issy-les-Moulineaux, Île-de-France, France"
76,"Departement des Hauts-de-Seine, FR"
77,"Colombes, FR"
78,"Puteaux, FR"
79,"Greensboro, NC (États-Unis)"
80,"Nantes, FR"
81,"Neuilly-sur-Seine, Île-de-France, France"
82,"Neuville-en-Ferrain, Hauts-de-France, France"
83,"Montpellier, FR"
84,"75009, Paris, Ile-de-France, France"
85,"Massy, Ile-de-France, France"
86,"Le Plessis-Belleville, Picardie, France"
87,"Asheville, NC (États-Unis)"
88,Paris et périphérie
89,"Bordeaux, Nouvelle-Aquitaine, France"
90,"Boulogne-Billancourt, Île-de-France, France"
91,"Lyon 01, FR"
92,Sesto Calende (Italie)
93,De 1 001 à 5 000 employés
94,Écully
95,"Région de Lyon, France"
96,"Cestas, Nouvelle-Aquitaine, France"
97,"Levallois-Perret, FR"
98,"Enghien-les-Bains, Île-de-France, France"
99,"Rennes, FR"
100,"Paris 04, Île-de-France, France"
101,"La Ciotat, FR"
102,"Vélizy-Villacoublay, FR"
103,"Le Mans, FR"
104,"Bezons, Île-de-France, France"
105,"Sophia Antipolis, FR"
106,"Vernon, FR"
107,"Paris 16, Île-de-France, France"
108,"Racine, WI (États-Unis)"
109,"Dargoire, FR"
110,"Aix-en-Provence, FR"
111,"Clichy, FR"
112,Montigny
113,"Azur, FR"
114,"Bordeaux, FR"
115,"Lille, Nord-Pas-de-Calais, France"
116,Sèvres
117,"Boulogne-Billancourt, FR"
118,"Talence, FR"
119,"Mérignac, FR"
120,"Aix-en-Provence, Provence-Alpes-Côte d’Azur, France"
121,Luxembourg (Luxembourg)
122,"Marseille, FR"
123,"Saint-Herblain, FR"
124,"Saint-Ouen, FR"
125,"Niort, FR"
126,"Toulouse, FR"
127,Nyon (Suisse)
128,"Toronto, ON (Canada)"
129,"Santa Clara, CA (États-Unis)"
130,"Troy, MI (États-Unis)"
131,Hambourg (Allemagne)
132,Nice
133,Entre 201 et 500 employés
134,"San Francisco, CA (États-Unis)"
135,Oslo (Norvège)
136,"New Berlin, WI (États-Unis)"
137,"Uxbridge, Angleterre (Royaume-Uni)"
138,"Burnaby, BC (Canada)"
139,Vandoeuvre
140,"Chesapeake, VA (États-Unis)"
141,Varsovie (Pologne)
142,"Bron, Rhône-Alpes"
143,Vélizy
144,Sursee (Suisse)
145,"Waltham, MA (États-Unis)"
146,"Harlow, Angleterre (Royaume-Uni)"
147,Montrouge
148,Rabat (Maroc)
149,"Bordeaux, Aquitaine"
150,Annecy-le-Vieux
151,"Reading, Angleterre (Royaume-Uni)"
152,Tournon-sur-Rhône
