id_avis,id_note,date_publication,contenu_avis,inconvenient,avantage,id_entreprise
1,17,12/12/2019,J'ai travaillé chez Devoteam à temps plein,CE n’est pas intéressante RAS,Salaire acceptable pour un junior,71
2,15,10/12/2019,Je travaille chez Devoteam à temps plein depuis moins d'un an,Salaire dans la moyenne du marché. CE non présente,Entreprise à l'écoute de ses collaborateurs. Commercial compétent. Manager à disposition en cas de souci même personnel Formation des collaborateurs à la demande,71
3,13,07/12/2019,J'ai travaillé chez Devoteam à temps plein,Sexisme Aucune évolution Expertise peu reconnu. Esn type marchand de viande Equipe commerciale incompétente,Aucun. Ens classique cherche uniquement à faire du chiffre.,71
4,13,03/12/2019,J'ai travaillé chez Devoteam à temps plein moins d'un an,J'ai travaillé pendant moins d'un an et je n'ai pas eu l'accompagnement prévu. Je déconseille fortement si vous souhaitez une entreprise avec des valeurs humaines réelles.,Il y a les avantages classiques.,71
5,17,02/12/2019,Je travaille chez Devoteam à temps plein,pour le moment je sais pas,plusieurs telques événement ambiance salaire mission,71
6,29,26/11/2019,Je travaille chez Devoteam à temps plein,le CE laisse à désirer,entreprise innovante à l'écoute de ses collaborateurs,71
7,15,25/11/2019,J'ai travaillé chez Devoteam à temps plein plus d'un an,Très peu d’avantages employés Le e learning pourrait être amélioré,Forte croissance mais encore à taille humaine Entités séparées et semi indépendantes qui entraînent une plus grande proximité Missions intéressantes même pour un junior Nouveaux bureaux agréables,71
8,29,22/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,Parfois un manque de visibilité de la part du très haut management,Rémunération attractive et autonomie importante,71
9,29,22/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,Organisation peu adaptée à la croissance (organique et externe),Diversité des missions (aussi bien géographique que contenu) - Orientée consultant (Par le consultant Pour le consultant et avec le consultant) - Orientée Transformation continue,71
10,29,22/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,aucun inconvénient. La direction est à l'écoute de ses employés.,Sujets innovants soin et attention portés aux collaborateurs ambiance de travail,71
11,21,20/11/2019,J'ai travaillé chez Devoteam à temps plein plus d'un an,NULL,NULL,71
12,15,15/11/2019,Je travaille chez Devoteam à temps plein,NULL,NULL,71
13,15,13/11/2019,Je travaille chez Devoteam à temps plein depuis moins d'un an,NULL,NULL,71
14,13,07/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,NULL,NULL,71
15,15,07/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,NULL,NULL,71
16,29,06/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,NULL,NULL,71
17,29,06/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,NULL,NULL,71
18,29,05/11/2019,Je travaille chez Devoteam à temps plein depuis plus de 5 ans,NULL,NULL,71
19,29,05/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,NULL,NULL,71
20,15,05/11/2019,Je travaille chez Devoteam à temps plein depuis plus d'un an,NULL,NULL,71
21,17,13/12/2019,Je travaille chez Atos à temps plein,La rémunération Diversité des missions Evolution salariale,Equilibre pro / perso Ambiance au sein des équipes,72
22,17,12/12/2019,Je travaille chez Atos à temps plein depuis plus d'un an,manque des marchés manque des primes,lieux les gens equipement ecadrement mangement,72
23,15,10/12/2019,Je travaille chez Atos à temps plein,Pas de treiziemes mois / prime intéressement,De très beaux projets informatique,72
24,21,10/12/2019,J'ai travaillé chez Atos à temps partiel,rythme très haut,technique salaire temps vie gout,72
25,17,09/12/2019,J'ai travaillé chez Atos à temps plein,Peu de marge de négociations,Bonne ambiance de travail,72
26,17,09/12/2019,J'ai travaillé chez Atos à temps plein plus de 10 ans,Tu avances tes frais et il te rembourseront peut être un jour on. A donné un tel portable pro,Y avais pas Skype il payait les voyages en Europe en 2003. Allemagne suisse Canada angleterre Espagne,72
27,17,04/12/2019,Je travaille chez Atos à temps plein,Peu de projets innovant beaucoup plus de la maintenance d'applications,Plein de mission en particuliers avec WorldLine,72
28,21,02/12/2019,J'ai travaillé chez Atos à temps plein plus de 10 ans,Course à la rentabilité perpétuels changements de managers pas de suivi des consultants.,Taille du groupe missions variées.,72
29,17,27/11/2019,J'ai travaillé chez Atos à temps plein,Petit salaire Évolution quasi nulle Localisation des bureaux,Technologie de pointe (HPC) manager directe accessible,72
30,15,19/11/2019,Je travaille chez Atos à temps plein depuis plus de 10 ans,Loin de la Défense les assistantes sont pas bien considérées et de moins ne moins présentes salaires des Etam et assistantes cadres pas élévés (pas d'augmentation régulière sauf grâce aux RP ) participation et intéressement très faible (mini légal) pour un grand groupe 30 jours de CP un CET RTT chèque vacances/ culture et Noel si Atos International ...,Grande entreprise mondiale facilité pour les jeunes diplômés de bons stages salaires attractifs pour les ingénieurs cadres moins pour les postes d'assistantes Evolution interne pour ceux considérés comme des Talents. Un siège moderne avec une cantine et salle de sport tramway à 10 min à pied Très belle expérience pour les stagiaires et alternants,72
31,29,18/11/2019,Je travaille chez Atos à temps plein depuis plus d'un an,Rien A Signaler Pour Instant,Mission Ambiance Hiérarchie Direction Implication,72
32,13,17/11/2019,Je travaille chez Atos à temps plein,pas de gestion de carière pas de prime pas de formation ni de suivi de mission.,y'a pas d'avantage chez atos,72
33,15,16/11/2019,Je travaille chez Atos à temps plein depuis plus d'un an,Salaires en dessous du marché,Projets Sympas bonnes conditions de travail pas trop de stress,72
34,17,16/11/2019,J'ai travaillé chez Atos à temps plein plus de 3 ans,Manque de communication managériale,Missions de grande envergures,72
35,17,13/11/2019,Je travaille chez Atos à temps plein depuis plus de 3 ans,Pas de produit Gros pbl d'organisation,Payer bien les Comissionnements Tremplin pour les jeunes,72
36,15,12/11/2019,J'ai travaillé chez Atos à temps plein plus de 5 ans,Peu d'avantages périphériques lourdeur administrative peu d'agressivité commerciale,Taille des projets ambiance dans les équipes excellentes salaire correct,72
37,21,12/11/2019,J'ai travaillé chez Atos à temps plein,Pas d augmentation de salaire,Cohésion d equipe projet inintéressant,72
38,21,10/11/2019,Je travaille chez Atos à temps plein depuis plus de 3 ans,Mauvaise ambiances. Argent avant aspirations du salarié,Missions plus ou moins intéressantes,72
