id_secteur,secteur
1,Services informatiques
2,Solutions logicielles et réseau d'entreprise
3,Fabrication de produits de soins de santé
4,Fabrication industrielle
5,Aérospatiale et Défense
6,Gestion des transports
7,Ne sait pas / non applicable par an
8,Entreprise cotée en bourse
9,Biotechnologies et pharmaceutique
10,Services d'architecture et d'ingénierie
11,Inconnu
12,Recrutement et sous-traitance
13,Conseils
14,Jeux vidéo
15,Matériel et logiciels informatiques
16,Services de courtage
17,Hôtels motels et stations de tourisme
18,Filiale ou unité d'exploitation
19,Autres magasins de détail
20,Services publics de distribution
21,Organismes fédéraux
22,Magasins de chaussures de vêtements et grands magasins
23,Assistance sociale
24,Fabrication d'équipement de transport
25,Fabrication d'appareils électriques et électroniques
27,Magasins de pièces automobiles et accessoires
28,Édition
29,Entreprise cotée en bourse
30,Services de télécommunications
31,Secteur ferroviaire
32,Enseignement supérieur et universités
33,Banques et organismes de crédit
34,Recherche et développement
35,Entreprise non cotée en bourse
36,Production animale
37,Publicité et marketing
38,Cabinet / Société du secteur privé
39,Fabrication de produits grand public
40,Investissements bancaires et gestion d'actifs
