id_ville,ville,pays
1,Levallois-Perret,France
2,Lyon,France
3,Paris,France
4,Altrincham,Royaume-Uni
5,Hong Kong,Hong Kong
6,Nanterre,France
7,Fullerton,États-Unis
8,Inconnu,Inconnu
9,Neuilly,France
10,Courbevoie,France
11,Leverkusen,Allemagne
12,New Orleans,États-Unis
13,Waterloo,Canada
14,Seattle,États-Unis
15,Villeurbanne,France
16,Londres,Royaume-Uni
17,Rennes,France
18,Tassin,France
19,Gothenburg,Suède
20,Moscou,Russie
21,Saint-Ouen,France
22,Austin,États-Unis
23,New York,États-Unis
24,Montréal,Canada
25,Viroflay,France
26,Courcouronnes,France
27,Roubaix,France
28,Saint-Maurice,Alsace
29,Inconnu,Inconnu
30,Saint-Fons,France
31,Lombard,États-Unis
32,Lyon,France
33,Écully,France
34,Lyon,France
35,Gradignan,France
36,Saint-Maurice-sur-Dargoire,France
37,Lille,France
38,Lyon,France
39,Sainte-Julie,France
40,Zurich,Suisse
41,Limonest,France
42,Lyon,France
43,Lyon,France
44,Saint-Genis-Laval,France
45,Nice,France
46,Lyon,France
47,Asnières-sur-Seine,France
48,Bezons,France
49,Boulogne-Billancourt,France
50,Région de Paris,France
51,Paris,France
52,Bezons,France
53,Fontenay-sous-Bois,France
54,Viroflay,France
55,Évry,France
56,Saint-Priest,France
57,Villeurbanne,France
58,Bron,France
59,Menlo Park,États-Unis
60,Paris,France
61,Paris,France
62,Courbevoie,France
63,Nice,France
64,Lille,France
65,Strasbourg,France
66,Paris,France
67,Paris,France
68,Eysines,France
69,Montrouge,France
70,Paris La Défense,France
71,Roubaix,France
72,Malakoff,France
73,Neuilly-sur-Seine,France
74,Montpellier,France
75,Issy-les-Moulineaux,France
76,Departement des Hauts-de-Seine,France
77,Colombes,France
78,Puteaux,France
79,Greensboro,États-Unis
80,Nantes,France
81,Neuilly-sur-Seine,France
82,Neuville-en-Ferrain,France
83,Montpellier,France
84,Paris,France
85,Massy,France
86,Le Plessis-Belleville,France
87,Asheville,États-Unis
88,Paris et périphérie,France
89,Bordeaux,France
90,Boulogne-Billancourt,France
91,Lyon,France
92,Sesto Calende,Italie
93,Inconnu,Inconnu
94,Écully,France
95,Région de Lyon,France
96,Cestas,France
97,Levallois-Perret,France
98,Enghien-les-Bains,France
99,Rennes,France
100,Paris,France
101,La Ciotat,France
102,Vélizy-Villacoublay,France
103,Le Mans,France
104,Bezons,France
105,Sophia Antipolis,France
106,Vernon,France
107,Paris,France
108,Racine,États-Unis
109,Dargoire,France
110,Aix-en-Provence,France
111,Clichy,France
112,Montigny,France
113,Azur,France
114,Bordeaux,France
115,Lille,France
116,Sèvres,France
117,Boulogne-Billancourt,France
118,Talence,France
119,Mérignac,France
120,Aix-en-Provence,France
121,Luxembourg,Luxembourg
122,Marseille,France
123,Saint-Herblain,France
124,Saint-Ouen,France
125,Niort,France
126,Toulouse,France
127,Nyon,Suisse
128,Toronto,Canada
129,Santa Clara,États-Unis
130,Troy,États-Unis
131,Hambourg,Allemagne
132,Nice,France
133,Inconnu,Inconnu
134,San Francisco,États-Unis
135,Oslo,Norvège
136,New Berlin,États-Unis
137,Uxbridge,Royaume-Uni
138,Burnaby,Canada
139,Vandoeuvre,France
140,Chesapeake,États-Unis
141,Varsovie,Pologne
142,Bron,France
143,Vélizy,France
144,Sursee,Suisse
145,Waltham,États-Unis
146,Harlow,Royaume-Uni
147,Montrouge,France
148,Rabat,Maroc
149,Bordeaux,France
150,Annecy-le-Vieux,France
151,Reading,Royaume-Uni
152,Tournon-sur-Rhône,France
